Statement,Link,Date
"MPD-SMaRT, pinuri ni Lacuna sa muling pagkaaresto sa puganteng Koreano",https://balita.mb.com.ph/2023/05/30/mpd-smart-pinuri-ni-lacuna-sa-muling-pagkaaresto-sa-puganteng-koreano/,"May 30,  2023"
"2 wanted sa carnapping, rape natugis ng otoridad sa Pasay City",https://balita.mb.com.ph/2023/05/30/2-wanted-sa-carnapping-rape-natugis-ng-otoridad-sa-pasay-city/,"May 30,  2023"
"Kasambahay, natagpuang patay sa bahay ng sariling amo sa Sampaloc, Maynila",https://balita.mb.com.ph/2023/05/30/kasambahay-natagpuang-patay-sa-bahay-ng-sariling-amo-sa-sampaloc-maynila/,"May 30,  2023"
Panuorin: Viral na pagbirit nina Jona at Darren sa classic Phantom of the Opera sa harap ni Songbird,https://balita.mb.com.ph/2023/05/30/panuorin-viral-na-pagbirit-nina-jona-at-darren-sa-classic-phantom-of-the-opera-sa-harap-ni-songbird/,"May 30,  2023"
"PBEd, iginiit na ‘unfair’ sabihing nabigo ang K to 12 program",https://balita.mb.com.ph/2023/05/30/pbed-iginiit-na-unfair-sabihing-nabigo-ang-k-to-12-program/,"May 30,  2023"
"OCTA: NCR Covid-19 positivity rate, patuloy sa pagbaba",https://balita.mb.com.ph/2023/05/30/octa-ncr-covid-19-positivity-rate-patuloy-sa-pagbaba/,"May 30,  2023"
Night Owl: Artificial Intelligence,https://balita.mb.com.ph/2023/05/30/night-owl-artificial-intelligence/,"May 30,  2023"
Night Owl: Smart cities,https://balita.mb.com.ph/2023/05/30/night-owl-smart-cities/,"May 30,  2023"
Nagdagdag pa! 3 titulo na ang masusungkit sa kauna-unahang Miss Grand PH pageant,https://balita.mb.com.ph/2023/05/30/nagdagdag-pa-3-titulo-na-ang-masusungkit-sa-kauna-unahang-miss-grand-ph-pageant/,"May 30,  2023"
"7-anyos na bata, 3 pang katao nalunod sa Batangas",https://balita.mb.com.ph/2023/05/30/7-anyos-na-bata-3-pang-katao-nalunod-sa-batangas/,"May 30,  2023"
"Typhoon Betty, patuloy na bumabagal; Batanes, nakataas pa rin sa Signal No. 2",https://balita.mb.com.ph/2023/05/30/typhoon-betty-patuloy-na-bumabagal-batanes-nakataas-pa-rin-sa-signal-no-2/,"May 30,  2023"
"'Kapagod na maningil!' Ogie Diaz, kaya ba ng sikmurang ipakulam mga may utang sa kaniya?",https://balita.mb.com.ph/2023/05/30/kapagod-na-maningil-ogie-diaz-kaya-ba-ng-sikmurang-ipakulam-mga-may-utang-sa-kaniya/,"May 30,  2023"
"46% ng mga Pinoy, nagsabing ‘di nabago kanilang buhay sa nakalipas na 12 buwan – SWS",https://balita.mb.com.ph/2023/05/30/46-ng-mga-pinoy-nagsabing-di-nabago-kanilang-buhay-sa-nakalipas-na-12-buwan-sws/,"June 02,  2023"
"Sauce ng carbonara, napagkamalang ice cream",https://balita.mb.com.ph/2023/05/30/sauce-ng-carbonara-napagkamalang-ice-cream/,"May 30,  2023"
"BFF na sina Michelle Dee, Rhian Ramos pinapaaming magjowa ng paladesisyong netizens",https://balita.mb.com.ph/2023/05/30/bff-na-sina-michelle-dee-rhian-ramos-pinapaaming-magjowa-ng-paladesisyong-netizens/,"May 30,  2023"
"Padilla, nagbitiw bilang executive VP ng PDP-Laban",https://balita.mb.com.ph/2023/05/30/padilla-nagbitiw-bilang-executive-vp-ng-pdp-laban/,"May 30,  2023"
"TAYA NA! Jackpot prize ng UltraLotto 6/58, ₱181 milyon na ngayong Tuesday draw!",https://balita.mb.com.ph/2023/05/30/taya-na-jackpot-prize-ng-ultralotto-6-58-%e2%82%b1181-milyon-na-ngayong-tuesday-draw/,"May 30,  2023"
"Paolo Contis, naurirat kung anong reaksiyon sa engagement ni LJ Reyes",https://balita.mb.com.ph/2023/05/30/paolo-contis-naurirat-kung-anong-reaksiyon-sa-engagement-ni-lj-reyes/,"May 30,  2023"
Bryanboy: 'Hindi ka po pangit. Wala ka lang pera!',https://balita.mb.com.ph/2023/05/30/bryanboy-hindi-ka-po-pangit-wala-ka-lang-pera/,"May 30,  2023"
"6 examinees, pasado sa April 2023 Real Estate Broker Licensure Exam",https://balita.mb.com.ph/2023/05/30/6-examinees-pasado-sa-april-2023-real-estate-broker-licensure-exam/,"May 30,  2023"
"Occidental Mindoro, niyanig ng magnitude 4.3 na lindol",https://balita.mb.com.ph/2023/05/30/occidental-mindoro-niyanig-ng-magnitude-4-3-na-lindol/,"May 30,  2023"
"Signal No. 1 at 2, nakataas pa rin sa ilang bahagi ng Luzon dahil sa Typhoon Betty",https://balita.mb.com.ph/2023/05/30/signal-no-1-at-2-nakataas-pa-rin-sa-ilang-bahagi-ng-luzon-dahil-sa-typhoon-betty/,"May 30,  2023"
"Pagpapakasal kay Pia Wurtzbach, 'best decision' kay Jeremy Jauncey",https://balita.mb.com.ph/2023/05/30/pagpapakasal-kay-pia-wurtzbach-best-decision-kay-jeremy-jauncey/,"May 30,  2023"
"Typhoon Betty, patuloy na humihina sa karagatan ng silangan ng Batanes – PAGASA",https://balita.mb.com.ph/2023/05/30/typhoon-betty-patuloy-na-humihina-sa-karagatan-ng-silangan-ng-batanes-pagasa/,"May 30,  2023"
"Surigao del Norte, niyanig ng magnitude 4.8 na lindol",https://balita.mb.com.ph/2023/05/30/surigao-del-norte-niyanig-ng-magnitude-4-8-na-lindol/,"May 30,  2023"
"LJ Reyes, engaged na!",https://balita.mb.com.ph/2023/05/30/lj-reyes-engaged-na/,"May 30,  2023"
"'Dear GMA!' Kapuso viewers nanawagan sa direktor, writers ng 'Abot Kamay na Pangarap'",https://balita.mb.com.ph/2023/05/30/dear-gma-kapuso-viewers-nanawagan-sa-direktor-writers-ng-abot-kamay-na-pangarap/,"May 30,  2023"
